,ID,mcg,gvh,alm,mpr,mit,erl,pox,vac,nuc,nux,outputs_class
0,0,0.58,61,0.47,asqp,0.13,0.5,0,28.8,0.22,,MIT
1,1,0.43,67,0.48,asqp,0.27,0.5,0,31.8,0.22,,MIT
2,2,0.64,62,0.49,mucx,0.15,0.5,0,31.8,0.22,,MIT
3,3,0.58,44,0.57,cdg,0.13,0.5,0,32.4,0.22,,ME1
4,4,0.42,44,0.48,mucx,0.54,0.5,0,28.8,0.22,,MIT
5,5,0.51,40,0.56,asqp,0.17,0.5,0.5,29.4,0.22,,ME1
6,6,0.5,54,0.48,mucx,0.65,0.5,0,31.8,0.22,,MIT
7,7,0.48,45,0.59,mucx,0.2,0.5,0,34.8,0.34,,ME1
8,8,0.55,50,0.66,mucx,0.36,0.5,0,29.4,0.22,,MIT
9,9,0.4,39,0.6,cdg,0.15,0.5,0,34.8,0.3,,ME1
10,10,0.43,39,0.54,mucx,0.21,0.5,0,31.8,0.27,,ME1
11,11,0.42,37,0.59,cdg,0.2,0.5,0,31.2,0.29,,ME1
12,12,0.4,42,0.57,cdg,0.35,0.5,0,31.8,0.25,,ME1
13,13,0.6,40,0.52,cdg,0.46,0.5,0,31.8,0.22,,MIT
14,14,0.66,55,0.45,asqp,0.19,0.5,0,27.6,0.22,,MIT
15,15,0.46,44,0.52,asqp,0.11,0.5,0,30,0.22,,ME1
16,16,0.47,39,0.5,mucx,0.11,0.5,0,29.4,0.4,,ME1
17,17,0.58,47,0.54,cdg,0.11,0.5,0,30.6,0.26,,ME1
18,18,0.5,34,0.55,mucx,0.21,0.5,0,29.4,0.22,,ME1
19,19,0.61,60,0.55,asqp,0.21,0.5,0,30,0.25,,ME1
20,20,0.45,40,0.5,mucx,0.16,0.5,0,30,0.22,,ME1
21,21,0.43,44,0.48,mucx,0.22,0.5,0,30.6,0.22,,ME1
22,22,0.73,63,0.42,mucx,0.3,0.5,0,29.4,0.22,uax,ME1
23,23,0.43,53,0.52,mucx,0.13,0.5,0,33,0.22,,ME1
24,24,0.46,53,0.52,cdg,0.15,0.5,0,34.8,0.22,,ME1
25,25,0.51,51,0.52,cdg,0.51,0.5,0,32.4,0.22,,MIT
26,26,0.59,45,0.53,mucx,0.19,0.5,0,35.4,0.27,,ME1
27,27,0.57,47,0.6,mucx,0.18,0.5,0,30.6,0.22,,ME1
28,28,0.63,67,0.57,cdg,0.24,0.5,0,29.4,0.22,,MIT
29,29,0.8,88,0.36,mucx,0.39,0.5,0,33.6,0.33,,ME1
30,30,0.53,54,0.43,mucx,0.1,0.5,0,34.2,0.32,,ME1
31,31,0.51,51,0.43,asqp,0.87,0.5,0,31.2,0.22,,MIT
32,32,0.38,61,0.61,asqp,0.12,0.5,0,31.8,0.47,,ME1
33,33,0.33,55,0.51,asqp,0.43,0.5,0,30.6,0.22,,ME1
34,34,0.78,74,0.42,asqp,0.26,0.5,0,25.8,0.22,,ME1
35,35,0.74,67,0.47,mucx,0.34,0.5,0,25.2,0.22,,ME3
36,36,0.72,61,0.45,asqp,0.3,0.5,0,32.4,0.25,,MIT
37,37,0.4,45,0.57,cdg,0.18,0.5,0,33.6,0.26,,ME1
38,38,0.59,53,0.43,mucx,0.44,0.5,0,30,0.22,,MIT
39,39,0.57,53,0.53,mucx,0.34,0.5,0,31.8,0.22,,MIT
40,40,0.86,68,0.39,asqp,0.24,0.5,0,32.4,0.22,,ME2
41,41,0.86,74,0.51,asqp,0.4,0.5,0,33,0.22,,ME2
42,42,0.79,57,0.41,asqp,0.28,0.5,0,35.4,0.22,,ME2
43,43,0.41,54,0.39,mucx,0.2,0.5,0,30.6,0.22,,ME3
44,44,0.37,36,0.56,mucx,0.18,0.5,0,28.8,0.26,uxv,ME3
45,45,0.53,31,0.58,asqp,0.39,0.5,0,28.2,0.37,,ME1
46,46,0.74,75,0.58,mucx,0.47,0.5,0,24,0.35,,ME2
47,47,0.49,39,0.52,mucx,0.29,0.5,0,28.8,0.22,,ME3
48,48,0.74,57,0.51,cdg,0.28,0.5,0,34.8,0.22,,ME3
49,49,0.42,24,0.34,mucx,0.16,0.5,0,30,0.22,uax,ME3
50,50,0.48,39,0.51,asqp,0.21,0.5,0,31.2,0.28,,ME1
51,51,0.41,53,0.45,cdg,0.14,0.5,0,31.2,0.66,,ME3
52,52,0.45,46,0.55,mucx,0.43,0.5,0,33,0.38,,ME1
53,53,0.56,48,0.58,mucx,0.27,0.5,0,30.6,0.22,,ME1
54,54,0.64,59,0.56,asqp,0.23,0.5,0,27.6,0.22,,ME1
55,55,0.64,56,0.56,asqp,0.22,0.5,0,27,0.22,,ME1
56,56,0.66,62,0.49,asqp,0.1,0.5,0,29.4,0.22,,ME1
57,57,0.53,44,0.51,asqp,0.33,0.5,0,33,0.22,,ME1
58,58,0.38,49,0.53,mucx,0.19,0.5,0,30,0.22,,ME1
